Title,Latitude,Jitter,New_Latitude,Longitude,Jitter,New_Longitude
Dick,36.333825,0.000002,36.333827,-78.655305,,-78.655305
Charles,36.333825,0.000003,36.333828,-78.655305,,-78.655305
Humprhey,36.333825,0.000004,36.333829,-78.655305,,-78.655305
John,36.333825,0.000005,36.33383,-78.655305,,-78.655305
Anderson,36.333825,0.000006,36.333831,-78.655305,,-78.655305
Ransom,36.333825,0.000007,36.333832,-78.655305,,-78.655305
Pleasant,36.333825,0.000008,36.333833,-78.655305,,-78.655305
Thompson,36.333825,0.000009,36.333834,-78.655305,,-78.655305
Willie,36.333825,0.00001,36.333835,-78.655305,,-78.655305
Gid,36.333825,,36.333825,-78.655305,0.000001,-78.655304
Jane,36.333825,,36.333825,-78.655305,0.000002,-78.655303
Jordan,36.333825,,36.333825,-78.655305,0.000003,-78.655302
Robin,36.333825,,36.333825,-78.655305,0.000004,-78.655301
Bill,36.333825,,36.333825,-78.655305,0.000005,-78.6553
Peter,36.333825,,36.333825,-78.655305,0.000006,-78.655299
Martha,36.333825,,36.333825,-78.655305,0.000007,-78.655298
Anderson,36.359582,0.000001,36.359583,-76.997139,,-76.997139
John,36.359582,0.000002,36.359584,-76.997139,,-76.997139
Braxton,36.382342,,36.382342,-77.417189,0.000001,-77.417188
Jim,36.382342,,36.382342,-77.417189,0.000002,-77.417187
Sam,36.386752,0.000001,36.386753,-78.983214,,-78.983214
Edmond,36.386752,0.000002,36.386754,-78.983214,,-78.983214
Ben,36.386752,0.000003,36.386755,-78.983214,,-78.983214
Tabitha,36.386752,0.000004,36.386756,-78.983214,,-78.983214
Sawney,36.386752,0.000005,36.386757,-78.983214,,-78.983214
Solomon,36.386752,0.000006,36.386758,-78.983214,,-78.983214
Jim,36.386752,0.000007,36.386759,-78.983214,,-78.983214
Alexander,36.386752,,36.386752,-78.983214,0.000001,-78.983213
Cary,36.386752,,36.386752,-78.983214,0.000002,-78.983212
Henry,36.386752,,36.386752,-78.983214,0.000003,-78.983211
Allen,36.386752,,36.386752,-78.983214,0.000004,-78.98321
Jacob,36.389888,,36.389888,-80.723162,,-80.723162
Isaac,36.394785,0.000001,36.394786,-79.763569,,-79.763569
John,36.394785,0.000002,36.394787,-79.763569,,-79.763569
Abby,36.394785,0.000003,36.394788,-79.763569,,-79.763569
Allen,36.394785,0.000004,36.394789,-79.763569,,-79.763569
Jim,36.394785,0.000005,36.39479,-79.763569,,-79.763569
Billy,36.394785,0.000006,36.394791,-79.763569,,-79.763569
Dick,36.394785,0.000007,36.394792,-79.763569,,-79.763569
Abram,36.394785,0.000008,36.394793,-79.763569,,-79.763569
Solomon,36.394785,0.000009,36.394794,-79.763569,,-79.763569
Moses,36.394785,0.00001,36.394795,-79.763569,,-79.763569
Alford,36.402877,0.000001,36.402878,-78.159693,,-78.159693
Phagon,36.402877,0.000002,36.402879,-78.159693,,-78.159693
Shadrack,36.402877,0.000003,36.40288,-78.159693,,-78.159693
Jack,36.402877,0.000004,36.402881,-78.159693,,-78.159693
Ned,36.402877,0.000005,36.402882,-78.159693,,-78.159693
Austin,36.402877,0.000006,36.402883,-78.159693,,-78.159693
Fed,36.402877,0.000007,36.402884,-78.159693,,-78.159693
Ferry,36.402877,0.000008,36.402885,-78.159693,,-78.159693
Nelson,36.402877,0.000009,36.402886,-78.159693,,-78.159693
Elan,36.402877,0.00001,36.402887,-78.159693,,-78.159693
Dick,36.402877,,36.402877,-78.159693,0.000001,-78.159692
Moses,36.402877,,36.402877,-78.159693,0.000002,-78.159691
Sam,36.404389,0.000001,36.40439,-80.208031,,-80.208031
Leonard,36.404389,0.000002,36.404391,-80.208031,,-80.208031
Croatan,36.439381,0.000001,36.439382,-76.088869,,-76.088869
Merica,36.439381,0.000002,36.439383,-76.088869,,-76.088869
Abram,36.439381,0.000003,36.439384,-76.088869,,-76.088869
Nero,34.093877,0.000001,34.093878,-78.1613,,-78.1613
Isaac,34.093877,0.000002,34.093879,-78.1613,,-78.1613
Celia,34.321375,0.000001,34.321376,-78.684081,,-78.684081
Brister,34.321375,0.000002,34.321377,-78.684081,,-78.684081
Scip,34.622239,0.000001,34.62224,-78.602589,,-78.602589
Nelson,34.622239,0.000002,34.622241,-78.602589,,-78.602589
Sally,34.622239,0.000003,34.622242,-78.602589,,-78.602589
Adam,34.622239,0.000004,34.622243,-78.602589,,-78.602589
Joe,34.622239,0.000005,34.622244,-78.602589,,-78.602589
Peter,34.622239,,34.622239,-78.602589,0.000001,-78.602588
Bob,34.622239,,34.622239,-78.602589,0.000002,-78.602587
Dick,34.622239,,34.622239,-78.602589,0.000003,-78.602586
Alick,34.622239,,34.622239,-78.602589,0.000004,-78.602585
Luner,34.622239,,34.622239,-78.602589,0.000005,-78.602584
Ned,34.955589,0.000001,34.95559,-77.960073,,-77.960073
Caleb,34.955589,0.000002,34.955591,-77.960073,,-77.960073
Joe,34.955589,0.000003,34.955592,-77.960073,,-77.960073
Arthur,34.955589,0.000004,34.955593,-77.960073,,-77.960073
Esther,34.955589,0.000005,34.955594,-77.960073,,-77.960073
Jack,34.955589,0.000006,34.955595,-77.960073,,-77.960073
Mose,34.955589,0.000007,34.955596,-77.960073,,-77.960073
Willis,34.955634,0.000001,34.955635,-80.076277,,-80.076277
Hardy,34.955634,0.000002,34.955636,-80.076277,,-80.076277
Sarah,34.955634,0.000003,34.955637,-80.076277,,-80.076277
Stepny,34.955634,0.000004,34.955638,-80.076277,,-80.076277
Dolly,34.955634,0.000005,34.955639,-80.076277,,-80.076277
Joe,34.955634,0.000006,34.95564,-80.076277,,-80.076277
Ellis,34.955634,0.000007,34.955641,-80.076277,,-80.076277
Abram,34.955634,0.000008,34.955642,-80.076277,,-80.076277
Ephraim,34.955634,0.000009,34.955643,-80.076277,,-80.076277
Phillis,34.955634,0.00001,34.955644,-80.076277,,-80.076277
Tom,34.955634,,34.955634,-80.076277,0.000001,-80.076276
Peter,34.955634,,34.955634,-80.076277,0.000002,-80.076275
Deen,34.955634,,34.955634,-80.076277,0.000003,-80.076274
Jinny,34.955634,,34.955634,-80.076277,0.000004,-80.076273
Hauzer,34.955634,,34.955634,-80.076277,0.000005,-80.076272
Jim,34.955634,,34.955634,-80.076277,0.000006,-80.076271
Sam,34.955634,,34.955634,-80.076277,0.000007,-80.07627
Isaac,35.062555,0.000001,35.062556,-78.876896,,-78.876896
Sam,35.062555,0.000002,35.062557,-78.876896,,-78.876896
Jim,35.062555,0.000003,35.062558,-78.876896,,-78.876896
Reddock,35.062555,0.000004,35.062559,-78.876896,,-78.876896
Caesar,35.062555,0.000005,35.06256,-78.876896,,-78.876896
Penny,35.062555,0.000006,35.062561,-78.876896,,-78.876896
Sandy,35.062555,0.000007,35.062562,-78.876896,,-78.876896
Simon,35.062555,0.000008,35.062563,-78.876896,,-78.876896
Tener,35.062555,0.000009,35.062564,-78.876896,,-78.876896
Shadrack,35.062555,0.00001,35.062565,-78.876896,,-78.876896
Willis,35.062555,0.000011,35.062566,-78.876896,0.000001,-78.876895
Ben,35.062555,0.000012,35.062567,-78.876896,0.000002,-78.876894
Bill,35.062555,0.000013,35.062568,-78.876896,0.000003,-78.876893
Frank,35.062555,0.000014,35.062569,-78.876896,0.000004,-78.876892
Peter,35.062555,0.000015,35.06257,-78.876896,0.000005,-78.876891
Charles,35.062555,,35.062555,-78.876896,0.000006,-78.87689
